BookTitle	Author	genre_list	year_published	avg_rating	num_ratings	num_works
Animal Farm	George Orwell	"['Roman à clef', 'Satire', ""Children's literature"", 'Speculative fiction', 'Fiction']"	1956.0	8.281909937888198	120.0	8
The Plague	Albert Camus	['Existentialism', 'Fiction', 'Absurdist fiction', 'Novel']	1972.0	8.11111111111111	9.0	7
All Quiet on the Western Front	Erich Maria Remarque	['War novel', 'Roman à clef']	1990.0	8.53125	32.0	4
Crash	J. G. Ballard	['Speculative fiction', 'Fiction', 'Novel']	1996.0	6.0	1.0	17
Children of Dune	Frank Herbert	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"	1977.0	8.875	5.0	20
The Cider House Rules	John Irving	['Fiction']	1985.0	7.29696276263782	149.0	11
Dracula	Bram Stoker	['Science Fiction', 'Speculative fiction', 'Horror', 'Invasion literature', 'Mystery', 'Epistolary novel', 'Fantasy', 'Fiction', 'Gothic fiction']	1979.0	8.400694444444445	34.0	4
Don Quixote	Miguel de Cervantes	"['Parody', ""Children's literature"", 'Psychological novel', 'Satire', 'Farce', 'Picaresque novel', 'Fiction']"	2003.0	9.5	2.0	2
Dune Messiah	Frank Herbert	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"	1975.0	8.416666666666666	6.0	20
The Trial	Franz Kafka	['Fiction', 'Absurdist fiction', 'Novel']	1969.0	7.85	11.0	6
Fahrenheit 451	Ray Bradbury	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"	1979.0	8.441666666666666	20.0	9
Gaudy Night	Dorothy L. Sayers	['Mystery', 'Detective fiction', 'Novel', 'Fiction', 'Suspense']	1986.0	7.2	6.0	12
Gone with the Wind	Margaret Mitchell	['Historical fiction', 'Fiction', 'Novel']	1993.0	8.988095238095237	44.0	1
Heart of Darkness	Joseph Conrad	['Fiction', 'Novella', 'Roman à clef']	2002.0	8.0	1.0	10
Hamlet	William Shakespeare	[]	1978.0	8.51388888888889	29.0	36
Heretics of Dune	Frank Herbert	['Science Fiction', 'Speculative fiction', 'Fiction']	1985.0	6.4	5.0	20
Adventures of Huckleberry Finn	Mark Twain	"['Satire', ""Children's literature"", 'Fiction', 'Adventure novel', 'Humour']"	1959.0	8.488888888888889	41.0	15
Ivanhoe	Walter Scott	['Historical fiction', 'Fiction', 'Historical novel']	1972.0	5.0	1.0	26
Johnny Got His Gun	Dalton Trumbo	['Fiction', 'Novel']	1982.0	8.695652173913043	24.0	2
Icehenge	Kim Stanley Robinson	['Science Fiction', 'Speculative fiction']	1990.0	7.666666666666667	4.0	4
Macbeth	William Shakespeare	[]	1978.0	8.366666666666667	27.0	36
Microserfs	Douglas Coupland	['Epistolary novel', 'Fiction']	1995.0	7.672077922077921	29.0	11
Neuromancer	William Gibson	['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Dystopia']	1984.0	8.5	2.0	10
Cryptonomicon	Neal Stephenson	['Fiction', 'Novel']	1999.0	8.323076923076924	60.0	7
Othello	William Shakespeare	[]	1981.0	8.733333333333333	13.0	36
A Scanner Darkly	Philip K. Dick	['Science Fiction', 'Psychological novel', 'Speculative fiction', 'Roman à clef', 'Fiction', 'Dystopia']	1991.0	8.0	7.0	43
Radio Free Albemuth	Philip K. Dick	['Science Fiction', 'Speculative fiction', 'Dystopia']	1985.0	8.0	5.0	43
Pride and Prejudice	Jane Austen	['Satire', 'Fiction', 'Romance novel', 'Novel']	1961.0	8.620691609977325	85.0	9
Pale Fire	Vladimir Vladimirovich Nabokov	['Fiction']	1980.0	9.75	4.0	20
Romeo and Juliet	William Shakespeare	[]	1980.0	8.375	5.0	36
Ringworld	Larry Niven	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1977.0	7.216666666666667	40.0	16
Rendezvous with Rama	Arthur C. Clarke	['Hard science fiction', 'Science Fiction', 'Speculative fiction']	1974.0	8.425	23.0	22
Sense and Sensibility	Jane Austen	"[""Children's literature"", 'Fiction', 'Romance novel', 'Novel']"	1961.0	8.473927875243666	36.0	9
Starship Troopers	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1980.0	8.59375	35.0	34
Stuart Little	E. B. White	"['Speculative fiction', ""Children's literature"", 'Fiction']"	1974.0	8.75	16.0	3
The Lord of the Rings	J. R. R. Tolkien	['Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction', 'Chivalric romance', 'High fantasy']	1988.0	9.273809523809524	24.0	9
The Time Machine	H. G. Wells	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Romance novel', 'Fantasy', 'Fiction', 'Time travel', 'Dystopia', 'Scientific romance']"	1980.0	8.144444444444444	13.0	21
The Shining	Stephen King	"['Gothic fiction', ""Children's literature"", 'Horror', 'Speculative fiction', 'Fiction']"	1993.0	7.619509476031215	72.0	60
Mort	Terry Pratchett	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1987.0	8.75	3.0	42
The Hobbit	J. R. R. Tolkien	"[""Children's literature"", 'Juvenile fantasy', 'Adventure novel', 'Speculative fiction', 'Fantasy', 'Fiction']"	1938.0	8.633012820512821	33.0	9
The Great Divorce	C. S. Lewis	['Speculative fiction', 'Fantasy', 'Religion']	1996.0	6.5	2.0	14
The Screwtape Letters	C. S. Lewis	['Epistolary novel', 'Inspirational', 'Speculative fiction', 'Satire', 'Fantasy', 'Fiction', 'Humour']	1988.0	8.444444444444445	26.0	14
The Hunt for Red October	Tom Clancy	"['Novel', 'Techno-thriller', ""Children's literature"", 'Fiction', 'Suspense']"	1984.0	8.354700854700853	79.0	15
The Cardinal of the Kremlin	Tom Clancy	['Thriller', 'Fiction', 'Novel']	1988.0	7.4	10.0	15
Debt of Honor	Tom Clancy	['Thriller', 'Fiction', 'Novel']	1994.0	6.107142857142858	16.0	15
Tunnel in the Sky	Robert A. Heinlein	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"	1987.0	7.6	5.0	34
The Mismeasure of Man	Stephen Jay Gould	['Non-fiction', 'Science']	1981.0	8.125	6.0	2
The Picture of Dorian Gray	Oscar Wilde	['Gothic fiction', 'Speculative fiction', 'Horror', 'Fiction']	1983.0	8.299999999999999	14.0	6
The Fountains of Paradise	Arthur C. Clarke	['Science Fiction', 'Speculative fiction']	2001.0	7.4	5.0	22
Lord of the Flies	William Golding	['Speculative fiction', 'Young adult literature', 'Fiction', 'Novel']	1997.0	8.192307692307693	14.0	6
Waiting for Godot	Samuel Beckett	['Poetry', 'Drama', 'Fiction', 'Absurdist fiction', 'Play']	1984.0	8.785714285714285	16.0	12
The Wanderer	Fritz Leiber	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']	2001.0	5.0	1.0	14
2010: Odyssey Two	Arthur C. Clarke	['Science Fiction', 'Speculative fiction']	1984.0	7.413793103448276	29.0	22
Brave New World	Aldous Huxley	"['Science Fiction', ""Children's literature"", 'Speculative fiction', 'Utopian and dystopian fiction', 'Fiction', 'Dystopia']"	1984.0	8.417934782608697	121.0	8
Aeneid	Virgil	['Fantasy', 'Fiction', 'Poetry']	1985.0	7.0	1.0	1
The Invisible Man	H. G. Wells	"['Albino bias', 'Science Fiction', ""Children's literature"", 'Horror', 'Novel', 'Speculative fiction', 'Science', 'Fiction', 'Scientific romance']"	1964.0	7.75	4.0	21
Northanger Abbey	Jane Austen	['Gothic fiction', 'Satire', 'Reference', 'Fiction', 'Romance novel']	1965.0	7.1	8.0	9
Around the World in Eighty Days	Jules Verne	"[""Children's literature"", 'Fiction', 'Adventure novel']"	1984.0	7.6	6.0	36
The Grapes of Wrath	John Steinbeck	['Novel']	1976.0	9.129032258064516	31.0	15
A Streetcar Named Desire	Tennessee Williams	[]	1980.0	7.333333333333334	16.0	7
Gulliver's Travels	Jonathan Swift	['Science Fiction', 'Satire', 'Fantasy', 'Speculative fiction']	1978.0	9.0	3.0	1
The Color Purple	Alice Walker	['Epistolary novel', 'Fiction']	1982.0	8.781278146237616	145.0	5
A Midsummer Night's Dream	William Shakespeare	['Fantasy', 'Comedy']	1981.0	8.0	1.0	36
The English Patient	Michael Ondaatje	['Fiction', 'Novel']	1993.0	7.433333333333334	90.0	5
Captains Courageous	Rudyard Kipling	[]	1985.0	9.0	2.0	4
The Forge of God	Greg Bear	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1993.0	7.275	9.0	15
Blood Music	Greg Bear	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1986.0	7.357142857142858	10.0	15
The World According to Garp	John Irving	['Literary fiction']	1979.0	7.593220338983051	60.0	11
The Mothman Prophecies	John A. Keel	[]	2002.0	6.3	30.0	1
Sixth Column	Robert A. Heinlein	['Science Fiction', 'Fantasy', 'Fiction']	1999.0	7.0	1.0	34
The Puppet Masters	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1994.0	8.0	8.0	34
The Wind in the Willows	Kenneth Grahame	"[""Children's literature"", 'Fiction', 'Novel']"	1980.0	8.051020408163266	18.0	1
Jonathan Livingston Seagull	Richard Bach	['Self-help', 'Spirituality', 'Speculative fiction', 'Fiction', 'Novella']	1970.0	7.677631578947368	61.0	2
I Am Legend	Richard Matheson	['Vampire fiction', 'Science Fiction', 'Horror', 'Speculative fiction', 'Zombies in popular culture', 'Apocalyptic and post-apocalyptic fiction', 'Fiction', 'Catastrophic literature', 'Dystopia']	1979.0	9.133333333333333	16.0	6
The Stranger	Albert Camus	['Crime Fiction', 'Existentialism', 'Fiction', 'Absurdist fiction', 'Suspense']	1954.0	8.25	9.0	7
Space Cadet	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1978.0	7.0	3.0	34
Between Planets	Robert A. Heinlein	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction', 'Novel']"	1978.0	7.0	1.0	34
Starman Jones	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction', 'Novel']	1982.0	9.0	2.0	34
Podkayne of Mars	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1979.0	8.5	3.0	34
The Star Beast	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1987.0	7.0	1.0	34
The Andromeda Strain	Michael Crichton	['Science Fiction', 'Speculative fiction', 'Techno-thriller', 'Mystery', 'Suspense', 'Fiction']	1969.0	7.666666666666667	5.0	22
Down and Out in Paris and London	George Orwell	['Autobiographical novel', 'Autobiography', 'Fiction', 'Memoir', 'Non-fiction']	1972.0	8.1	10.0	8
The Transmigration of Timothy Archer	Philip K. Dick	['Speculative fiction', 'Novel']	1991.0	8.0	2.0	43
Dirk Gently's Holistic Detective Agency	Douglas Adams	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Comedy']	1987.0	7.744375431331953	54.0	7
Dragonflight	Anne McCaffrey	"['Science Fiction', ""Children's literature"", 'Fantasy', 'Fiction']"	2002.0	8.8	5.0	25
The Diamond Age	Neal Stephenson	['Cyberpunk', 'Science Fiction', 'Speculative fiction', 'Fiction', 'Postcyberpunk']	1996.0	9.1875	16.0	7
The Hunchback of Notre Dame	Victor Hugo	"[""Children's literature"", 'Fiction']"	1981.0	7.5	8.0	7
Alice's Adventures in Wonderland	Lewis Carroll	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Absurdist fiction', 'Fiction']"	1985.0	8.875	5.0	6
Now Wait for Last Year	Philip K. Dick	['Science Fiction', 'Speculative fiction', 'Fantasy']	1993.0	8.5	2.0	43
The Magician's Nephew	C. S. Lewis	"['Speculative fiction', 'Fantasy', ""Children's literature""]"	1969.0	8.318181818181818	12.0	14
The Patchwork Girl of Oz	L. Frank Baum	"['Speculative fiction', 'Fantasy', ""Children's literature""]"	1997.0	9.0	1.0	32
Double Star	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction']	1957.0	9.0	3.0	34
Time for the Stars	Robert A. Heinlein	"['Science Fiction', 'Speculative fiction', ""Children's literature"", 'Fiction']"	1980.0	9.0	1.0	34
Citizen of the Galaxy	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1978.0	8.0	4.0	34
Stranger in a Strange Land	Robert A. Heinlein	['Science Fiction', 'Fiction']	1984.0	8.142857142857142	8.0	34
Glory Road	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fantasy', 'Fiction', 'Novel']	1982.0	8.3125	7.0	34
The Moon Is a Harsh Mistress	Robert A. Heinlein	['Science Fiction', 'Fantasy', 'Fiction']	1994.0	8.233333333333333	17.0	34
I Will Fear No Evil	Robert A. Heinlein	['Science Fiction', 'Speculative fiction', 'Fiction']	1976.0	6.9375	17.0	34
The Cat Who Walks Through Walls	Robert A. Heinlein	['Science Fiction', 'Speculative fiction']	1986.0	7.700980392156863	23.0	34
Life: A User's Manual	Georges Perec	[]	1988.0	7.0	1.0	3
The Wonderful Wizard of Oz	L. Frank Baum	"['Speculative fiction', 'Fantasy', ""Children's literature""]"	1987.0	5.0	2.0	32
Catch-22	Joseph Heller	['Anti-war', 'War novel', 'Absurdist fiction', 'Historical fiction', 'Satire', 'Black comedy']	2000.0	6.5	2.0	4
Robinson Crusoe	Daniel Defoe	"['Speculative fiction', ""Children's literature"", 'Fiction', 'Adventure novel', 'Novel']"	1981.0	6.283333333333333	11.0	4
King Lear	William Shakespeare	[]	1981.0	8.577777777777778	12.0	36
Clear and Present Danger	Tom Clancy	"['Thriller', 'Mystery', ""Children's literature"", 'Fiction', 'Suspense']"	1989.0	7.359890109890109	27.0	15
Julius Caesar	William Shakespeare	[]	1963.0	7.333333333333333	3.0	36
Emma	Jane Austen	"[""Children's literature"", 'Reference', 'Novel', 'Comedy of manners', 'Romance novel', 'Comedy', 'Fiction']"	1976.0	8.9	8.0	9
Charlie and the Chocolate Factory	Roald Dahl	"[""Children's literature"", 'Fantasy', 'Speculative fiction', 'Fiction']"	1964.0	8.84	32.0	18
Anne of Green Gables	Lucy Maud Montgomery	"[""Children's literature"", 'Novel']"	1982.0	8.0	3.0	16
