	BookTitle
0	Animal Farm
1	The Plague
2	All Quiet on the Western Front
3	Crash
4	Children of Dune
5	The Cider House Rules
6	Dracula
7	Don Quixote
8	Dune Messiah
9	The Trial
10	Fahrenheit 451
11	Gaudy Night
12	Gone with the Wind
13	Heart of Darkness
14	Hamlet
15	Heretics of Dune
16	Adventures of Huckleberry Finn
17	Ivanhoe
18	Johnny Got His Gun
19	Icehenge
20	Macbeth
21	Microserfs
22	Neuromancer
23	Cryptonomicon
24	Othello
25	A Scanner Darkly
26	Radio Free Albemuth
27	Pride and Prejudice
28	Pale Fire
29	Romeo and Juliet
30	Ringworld
31	Rendezvous with Rama
32	Sense and Sensibility
33	Starship Troopers
34	Stuart Little
35	The Lord of the Rings
36	The Time Machine
37	The Shining
38	Mort
39	The Hobbit
40	The Great Divorce
41	The Screwtape Letters
42	The Hunt for Red October
43	The Cardinal of the Kremlin
44	Debt of Honor
45	Tunnel in the Sky
46	The Mismeasure of Man
47	The Picture of Dorian Gray
48	The Fountains of Paradise
49	Lord of the Flies
50	Waiting for Godot
51	The Wanderer
52	2010: Odyssey Two
53	Brave New World
54	Aeneid
55	The Invisible Man
56	Northanger Abbey
57	Around the World in Eighty Days
58	The Grapes of Wrath
59	A Streetcar Named Desire
60	Gulliver's Travels
61	The Color Purple
62	A Midsummer Night's Dream
63	The English Patient
64	Captains Courageous
65	The Forge of God
66	Blood Music
67	The World According to Garp
68	The Mothman Prophecies
69	Sixth Column
70	The Puppet Masters
71	The Wind in the Willows
72	Jonathan Livingston Seagull
73	I Am Legend
74	The Stranger
75	Space Cadet
76	Between Planets
77	Starman Jones
78	Podkayne of Mars
79	The Star Beast
80	The Andromeda Strain
81	Down and Out in Paris and London
82	The Transmigration of Timothy Archer
83	Dirk Gently's Holistic Detective Agency
84	Dragonflight
85	The Diamond Age
86	The Hunchback of Notre Dame
87	Alice's Adventures in Wonderland
88	Now Wait for Last Year
89	The Magician's Nephew
90	The Patchwork Girl of Oz
91	Double Star
92	Time for the Stars
93	Citizen of the Galaxy
94	Stranger in a Strange Land
95	Glory Road
96	The Moon Is a Harsh Mistress
97	I Will Fear No Evil
98	The Cat Who Walks Through Walls
99	Life: A User's Manual
100	The Wonderful Wizard of Oz
101	Catch-22
102	Robinson Crusoe
103	King Lear
104	Clear and Present Danger
105	Julius Caesar
106	Emma
107	Charlie and the Chocolate Factory
108	Anne of Green Gables
109	The Crow Road
110	Ender's Game
111	Job: A Comedy of Justice
112	Friday
113	The Caves of Steel
114	Foundation and Earth
115	Time Enough for Love
116	The Rolling Stones
117	The Door into Summer
118	Farnham's Freehold
119	The Treasure of the Sierra Madre
120	Kim
121	Whit
122	Mostly Harmless
123	Native Son
124	A Farewell to Arms
125	Dodsworth
126	Lost Horizon
127	The Red Badge of Courage
128	Goodbye, Mr. Chips
129	Of Mice and Men
130	All's Well That Ends Well
131	The Taming of the Shrew
132	Ishmael
133	David Copperfield
134	Childhood's End
135	The Two Towers
136	The Return of the King
137	The Body
138	The Eyes of the Dragon
139	Riding the Bullet
140	Dolores Claiborne
141	Gerald's Game
142	The Green Mile
143	The Long Walk
144	The Day of the Triffids
145	Antigone
146	Carrie
147	Watership Down
148	Harriet the Spy
149	The Big Sleep
150	The Player of Games
151	Excession
152	Choke
153	A Friend of the Earth
154	The Weirdstone of Brisingamen
155	The Human Stain
156	Picnic at Hanging Rock
157	Smith of Wootton Major
158	England, England
159	Dune
160	Feersum Endjinn
161	Uncle Tom's Cabin
162	The Beach
163	Murder Must Advertise
164	To Kill a Mockingbird
165	A Christmas Carol
166	About a Boy
167	Sick Puppy
168	The Great Gatsby
169	For Whom the Bell Tolls
170	Good Omens
171	Coraline
172	Interview with the Vampire
173	Tartarin de Tarascon
174	Finnegans Wake
175	The Virgin Suicides
176	What Makes Sammy Run?
177	The Razor's Edge
178	King Solomon's Mines
179	Cat's Cradle
180	Excellent Women
181	Murder in the Cathedral
182	The Legend of Sleepy Hollow
183	The Winter's Tale
184	Dead Air
185	The Exorcist
186	A Severed Head
187	The Road to Mars
188	Regeneration
189	House of Leaves
190	Restoree
191	Cat on a Hot Tin Roof
192	Elmer Gantry
193	Sons and Lovers
194	Nemesis
195	Island of the Sequined Love Nun
196	The Lust Lizard of Melancholy Cove
197	Quartet in Autumn
198	Some Tame Gazelle
199	On Golden Pond
200	Alas, Babylon
201	Sister Carrie
202	The Accidental Tourist
203	Lamb: The Gospel According to Biff, Christ's Childhood Pal
204	The Remains of the Day
205	The Long Dark Tea-Time of the Soul
206	Damage
207	Imperial Earth
208	Chocolat
209	The Ghost Road
210	Rosemary's Baby
211	This Perfect Day
212	The Boys from Brazil
213	Sliver
214	The Tale of Genji
215	Where Angels Fear to Tread
216	Shame
217	The Vampire Lestat
218	The Tale of the Body Thief
219	War and Peace
220	On the Beach
221	The Crying of Lot 49
222	Jack of Shadows
223	Clouds of Witness
224	Unnatural Death
225	The Unpleasantness at the Bellona Club
226	Strong Poison
227	Five Red Herrings
228	Have His Carcase
229	Busman's Honeymoon
230	Whipping Star
231	The Dosadi Experiment
232	Vurt
233	Fast Food Nation: The Dark Side of the All-American Meal
234	Anna Karenina
235	High Fidelity
236	Dreamcatcher
237	Foucault's Pendulum
238	Oliver Twist
239	East of Eden
240	The Old Man and the Sea
241	The Children of Men
242	The Heart Is a Lonely Hunter
243	The Postman
244	The Phantom of the Opera
245	Murder on the Orient Express
246	Harry Potter and the Chamber of Secrets
247	American Psycho
248	Kalimantaan
249	Creatures of Light and Darkness
250	The Handmaid's Tale
251	My Left Foot
252	Barchester Towers
253	East Wind: West Wind
254	Treasure Island
255	Steppenwolf
256	Goldfinger
257	Ironweed
258	Girl, Interrupted
259	Small Gods
260	Moonraker
261	Sophie's Choice
262	The White Plague
263	The Pilgrim's Progress
264	The Santaroga Barrier
265	Piers Plowman
266	Red Storm Rising
267	Lady Chatterley's Lover
268	Richard III
269	The Man Who Fell to Earth
270	The Phantom Tollbooth
271	The Hundred and One Dalmatians
272	A Philosophical Investigation
273	The Tortilla Curtain
274	Love in a Cold Climate
275	The Fountainhead
276	Contact
277	American Gods
278	Stardust
279	World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability
280	The Sword in the Stone
281	Children of the Mind
282	The Silver Chalice
283	The Catcher in the Rye
284	The Name of the Rose
285	The Member of the Wedding
286	V.
287	Shogun: A Novel of Japan
288	Goodnight Moon
289	Lysistrata
290	Ecotopia
291	Life, the Universe and Everything
292	The Adventures of Tom Sawyer
293	Pebble in the Sky
294	Ender's Shadow
295	Cards on the Table
296	The Gambler
297	The Crucible
298	The Bell Jar
299	Jude the Obscure
300	Democracy in America
301	The Giver
302	Sourcery
303	It Can't Happen Here
304	The Restaurant at the End of the Universe
305	The Rebel Angels
306	Heidi
307	The Velveteen Rabbit
308	Executive Orders
309	Absalom, Absalom!
310	Brideshead Revisited
